,name,ticker,price,volume,market_cap,circulating_supply,tvl
0,Bitcoin,btc,63232.0,31766258237.0,1192201529093,18854225.0,
1,Ethereum,eth,4213.69,17296067190.0,497504368572,118074512.624,
2,Binance Coin,bnb,486.45,1344997724.0,81790040482,168137035.9,
3,Tether,usdt,1.0,62169530445.0,70701484420,70416110814.7574,
4,Cardano,ada,2.16,1468877498.0,69334973107,32066390668.4135,
5,Solana,sol,212.81,4931085571.0,64035183890,300959512.296491,
6,XRP,xrp,1.1,3532876982.0,51496037521,46946349017.0,
7,Polkadot,dot,44.53,1285817917.0,46479469803,1043664443.19673,
8,Dogecoin,doge,0.263268,4054987543.0,34672135488,131848066197.509,
9,USD Coin,usdc,1.0,2271212158.0,32725086718,32592309323.2637,
10,Shiba Inu,shib,4.185e-05,8396409280.0,20832393391,497730966630395.75,
11,Terra,luna,42.73,693071895.0,17145733838,401257592.463243,
12,Chainlink,link,32.21,1384416029.0,14861980417,461009553.9174637,
13,Avalanche,AVAX,67.02,499833634.0,14768235023,220286577.207551,
14,Wrapped Bitcoin,wbtc,63351.0,429579900.0,14044055784,221692.78993299,
15,Uniswap,uni,26.49,219983603.0,13771568332,519857388.1320768,7422879171.0
16,Litecoin,ltc,195.47,1899753769.0,13445802781,68829620.7334713,
17,Binance USD,busd,1.0,5078837910.0,12925983087,12878756944.26,
18,Algorand,algo,1.98,439467542.0,12183570677,6156500972.76507,
19,Bitcoin Cash,bch,623.49,8104361871.0,11772193149,18882199.8966529,
20,Polygon,matic,1.64,880230054.0,11075184545,6763681380.17,
21,Cosmos,atom,35.39,467100203.0,9953066231,281275384.057632,
22,VeChain,vet,0.141148,582343077.0,9422213900,66760741299.0,
23,Stellar,xlm,0.382121,438758586.0,9220053843,24131667478.5528,
24,Internet Computer,icp,47.88,300201500.0,8311452462,174340831.23,
25,Axie Infinity,axs,131.81,963558645.0,8062419936,61169000.48000099,
26,FTX Token,ftt,65.18,264422116.0,7838015871,120252964.51874323,
27,Fantom,ftm,2.97,848186347.0,7554003510,2541152731.01,
28,Filecoin,fil,64.22,501523016.0,7527170024,117211400.0,
29,Dai,dai,1.0,452031123.0,7337228886,7296631840.90781,
30,Ethereum Classic,etc,55.45,1536271959.0,7233279463,130456366.851596,
31,TRON,trx,0.100843,1452183759.0,7225701063,71660220128.0,
32,OKB,okb,25.79,658797502.0,6838384850,265115438.19,
33,Theta Network,theta,6.74,229291406.0,6741420459,1000000000.0,
34,cETH,ceth,84.56,19413122.0,6643252681,78469206.5830754,
35,Near,near,12.21,787939751.0,6421634897,526072613.44006,
